#Frame     CT1[total]     CT1[vdw]    CT1[elec]    CT1[bond]   CT1[angle] CT1[dihedral]   CT1[vdw14]  CT1[elec14]
       1   88500.1184  -11804.8003   -2137.2595    5127.5461   25090.2872    56221.5062   10682.0654    5320.7733
       2   88296.8219  -11806.6994   -2136.0592    5071.2511   24956.7231    56204.4183   10682.6507    5324.5372
       3   88491.7506  -11812.3252   -2139.4593    5178.8970   24979.4825    56271.3679   10684.8842    5328.9036
       4   88466.5204  -11794.3785   -2143.2810    5146.0532   24918.1928    56331.1400   10681.3129    5327.4809
       5   88485.0920  -11780.2494   -2141.4408    5169.2838   24924.8999    56318.7402   10668.3190    5325.5394
       6   88461.1610  -11806.1172   -2139.5091    5136.8157   24980.8157    56309.2224   10654.2495    5325.6839
       7   88430.3528  -11846.9491   -2144.2099    5144.4123   24976.6344    56323.1756   10648.1803    5329.1091
       8   88406.0500  -11831.4891   -2149.0686    5035.5706   25074.2100    56298.1344   10647.4627    5331.2299
       9   88446.4680  -11798.2981   -2148.9966    5058.8674   25108.5687    56254.2887   10642.4462    5329.5916
      10   88529.1369  -11794.1224   -2146.6524    5113.3448   25131.9188    56246.4851   10649.6065    5328.5564
      11   88533.3900  -11825.3809   -2144.5248    5178.8472   25060.9813    56270.7220   10666.2940    5326.4512
      12   88380.4797  -11837.4121   -2142.1952    5050.2573   25042.5646    56261.5274   10685.2432    5320.4945
      13   88408.8044  -11827.0845   -2141.0335    5100.3017   25054.3715    56196.2749   10707.1735    5318.8009
      14   88327.1869  -11811.2388   -2144.9401    5082.8427   24994.8694    56165.4434   10715.1219    5325.0883
      15   88444.0331  -11801.6172   -2148.1436    5102.0011   25054.1708    56192.8342   10713.3992    5331.3885
      16   88360.6475  -11800.7503   -2147.0489    5026.0339   25000.3288    56236.3398   10712.7372    5333.0069
      17   88447.4656  -11813.4818   -2145.2134    5120.5499   24970.9193    56282.6395   10702.4455    5329.6066
