#Frame      LE[total]      LE[vdw]     LE[elec]     LE[bond]    LE[angle] LE[dihedral]    LE[vdw14]   LE[elec14]
       1   28933.9960  -19956.7810    4113.9123    4034.8898   24286.6615   22116.8599     805.1182   -6466.6647
       2   28688.3570  -19972.5205    4117.0148    4073.5540   24013.3681   22134.1924     788.3303   -6465.5820
       3   28889.2402  -19956.6831    4113.3903    4132.5868   24097.5550   22171.5536     794.6827   -6463.8449
       4   28946.0429  -19932.6582    4098.3374    4094.0779   24148.0119   22198.5262     795.9350   -6456.1874
       5   28853.5238  -19926.3254    4090.5615    4117.6986   24038.9367   22189.4654     792.0332   -6448.8463
       6   28782.3340  -19950.8133    4098.4453    4001.2433   24109.1525   22169.2486     800.9396   -6445.8819
       7   28834.6259  -19965.2797    4105.5032    4090.6673   24085.3019   22154.5147     803.8646   -6439.9462
       8   28945.7633  -19961.9067    4106.5620    4155.0996   24111.0005   22167.7275     804.5566   -6437.2762
       9   28835.3388  -19969.3517    4109.5566    3933.7853   24213.6602   22191.4873     798.0330   -6441.8319
      10   28741.8436  -19961.1721    4110.7466    4035.7623   23991.9941   22222.1908     786.4449   -6444.1230
      11   28996.4974  -19954.3076    4110.0419    4236.0274   24027.9112   22230.0229     795.7836   -6448.9822
      12   29004.6231  -19942.7830    4113.1645    4099.6572   24174.0479   22212.1482     809.1595   -6460.7713
      13   28730.6603  -19943.6069    4115.6177    4035.8627   24003.7320   22184.9663     798.4296   -6464.3411
      14   28901.9448  -19951.6227    4119.3573    4117.4073   24100.4317   22179.1481     801.6237   -6464.4007
      15   29071.7317  -19975.2612    4127.3214    4166.9773   24219.7806   22196.6501     802.8554   -6466.5920
      16   28888.7937  -19981.7121    4130.5268    4110.9697   24065.0056   22224.4634     797.1203   -6457.5799
      17   28810.4133  -19970.3836    4129.4832    3978.8588   24077.9268   22240.3165     800.5948   -6446.3832
      18   29034.6203  -19951.8163    4130.9927    4111.0724   24160.8662   22230.3578     797.7210   -6444.5735
      19   28842.4427  -19948.1417    4128.9591    4180.6167   23913.5832   22209.9278     795.5280   -6438.0305
      20   28898.0131  -19940.2488    4126.9718    4054.0504   24080.2185   22202.7895     806.6175   -6432.3858
      21   28811.5425  -19948.6465    4128.8728    4049.9473   23989.1174   22218.3384     811.5554   -6437.6424
