#Frame      GR[total]      GR[vdw]     GR[elec]     GR[bond]    GR[angle] GR[dihedral]    GR[vdw14]   GR[elec14]
       1   28919.2318  -19956.7810    4110.6487    4034.8898   24286.6615   22116.8599     805.1182   -6478.1654
       2   28673.3902  -19972.5205    4113.5531    4073.5540   24013.3681   22134.1924     788.3303   -6477.0871
       3   28873.8423  -19956.6831    4109.4571    4132.5868   24097.5550   22171.5536     794.6827   -6475.3098
       4   28930.4276  -19932.6582    4094.2480    4094.0779   24148.0119   22198.5262     795.9350   -6467.7131
       5   28838.0018  -19926.3254    4086.6651    4117.6986   24038.9367   22189.4654     792.0332   -6460.4719
       6   28767.2123  -19950.8133    4094.8504    4001.2433   24109.1525   22169.2486     800.9396   -6457.4087
       7   28819.7198  -19965.2797    4102.0642    4090.6673   24085.3019   22154.5147     803.8646   -6451.4133
       8   28930.4859  -19961.9067    4102.8763    4155.0996   24111.0005   22167.7275     804.5566   -6448.8678
       9   28820.0003  -19969.3517    4105.7929    3933.7853   24213.6602   22191.4873     798.0330   -6453.4067
      10   28726.8431  -19961.1721    4107.2255    4035.7623   23991.9941   22222.1908     786.4449   -6455.6023
      11   28981.5716  -19954.3076    4106.6427    4236.0274   24027.9112   22230.0229     795.7836   -6460.5088
      12   28989.8407  -19942.7830    4109.8914    4099.6572   24174.0479   22212.1482     809.1595   -6472.2805
      13   28715.9703  -19943.6069    4112.3992    4035.8627   24003.7320   22184.9663     798.4296   -6475.8126
      14   28886.6495  -19951.6227    4115.6203    4117.4073   24100.4317   22179.1481     801.6237   -6475.9589
      15   29056.2549  -19975.2612    4123.3951    4166.9773   24219.7806   22196.6501     802.8554   -6478.1425
      16   28874.0735  -19981.7121    4127.3160    4110.9697   24065.0056   22224.4634     797.1203   -6469.0894
      17   28796.0435  -19970.3836    4126.7609    3978.8588   24077.9268   22240.3165     800.5948   -6458.0307
      18   29020.4885  -19951.8163    4128.4917    4111.0724   24160.8662   22230.3578     797.7210   -6456.2043
      19   28828.9550  -19948.1417    4126.9616    4180.6167   23913.5832   22209.9278     795.5280   -6449.5207
      20   28884.6755  -19940.2488    4125.1698    4054.0504   24080.2185   22202.7895     806.6175   -6443.9215
      21   28798.0648  -19948.6465    4126.9104    4049.9473   23989.1174   22218.3384     811.5554   -6449.1576
      22   29000.1548  -19954.5049    4125.6989    4112.7243   24126.6603   22237.2449     805.3006   -6452.9691
      23   29002.8922  -19955.0736    4127.5102    4092.7906   24151.5444   22252.7119     793.0174   -6459.6087
      24   28872.4811  -19925.6700    4136.9547    4029.9770   24073.8117   22241.3000     790.1181   -6474.0103
      25   28881.2012  -19905.1573    4139.4992    4005.7244   24098.8134   22220.4585     800.2709   -6478.4079
      26   29026.6057  -19904.7351    4135.1642    4103.3886   24165.3227   22201.3605     801.3547   -6475.2500
      27   28900.6078  -19934.4959    4136.8273    4119.9232   24062.9010   22193.7009     797.0449   -6475.2937
      28   28979.6908  -19941.6842    4142.1369    4048.5402   24202.2235   22190.2352     804.0870   -6465.8478
      29   28976.1103  -19949.6385    4142.6838    4107.6832   24123.7403   22197.2934     805.8273   -6451.4792
      30   28887.9047  -19955.3861    4142.0643    4112.7085   24027.3950   22216.8647     793.8213   -6449.5630
      31   28997.9245  -19919.9338    4141.7041    4066.2831   24153.3259   22217.2779     792.0132   -6452.7458
      32   28857.1177  -19884.6597    4143.1518    4079.7835   23965.6999   22212.9309     795.1544   -6454.9432
      33   28971.1607  -19880.3714    4146.8339    4023.9454   24115.7867   22210.2923     813.2267   -6458.5530
      34   28973.2830  -19901.0278    4146.8785    4081.1321   24077.5384   22212.3404     814.5186   -6458.0972
      35   29006.1959  -19895.7191    4144.5588    4130.2248   24060.6568   22221.7055     803.7208   -6458.9518
      36   28928.2036  -19876.3179    4144.4505    4057.1557   24043.7115   22224.4637     799.3110   -6464.5708
      37   28946.5481  -19879.2555    4141.8307    4044.1270   24091.2471   22217.0753     797.4978   -6465.9742
      38   28973.9038  -19885.6802    4136.2378    4087.4259   24091.6361   22213.7697     797.1197   -6466.6052
      39   28967.3106  -19884.8427    4136.3784    4102.2065   24082.2269   22207.6355     793.9535   -6470.2475
      40   29070.3948  -19884.0341    4144.3525    4111.7719   24175.3530   22195.2130     796.0221   -6468.2835
      41   28890.1757  -19864.5985    4152.9172    4050.1810   24026.1599   22182.7440     803.3359   -6460.5637
      42   28920.6290  -19874.9403    4152.0513    4067.0314   24031.0669   22179.8509     816.7275   -6451.1588
      43   28983.6547  -19865.8457    4143.1786    4104.0818   24056.4340   22171.8472     817.9192   -6443.9604
      44   28814.8482  -19858.5714    4138.5902    4033.7003   24004.0235   22146.2861     799.7385   -6448.9190
      45   28978.1622  -19864.6226    4141.7020    4068.5813   24164.6186   22131.8131     794.4453   -6458.3756
      46   28976.6934  -19886.5912    4145.7534    4069.7818   24182.9237   22126.6580     799.2028   -6461.0350
      47   28936.8688  -19904.6565    4149.2127    4045.9457   24198.0942   22116.9474     797.3725   -6466.0472
      48   28912.0666  -19894.4741    4152.0751    4002.0146   24209.9154   22118.4603     799.2302   -6475.1548
      49   28895.3067  -19879.8002    4154.6350    4015.2903   24150.9903   22127.2059     806.2915   -6479.3061
      50   28930.7543  -19878.7856    4155.6403    4047.4700   24142.7737   22129.2072     813.5334   -6479.0848
      51   28959.5539  -19881.3901    4145.8454    4009.3901   24217.1318   22113.2079     825.6543   -6470.2855
      52   29021.9382  -19890.1231    4131.2320    4081.6512   24229.4538   22114.0353     810.1866   -6454.4975
